,class1,Abstract,class1_id
0,Adipose Tissue  Appetite  and Obesity,opiomelanocortin neurons hypothalamic arcuate nucleus critically regulate feeding behavior weight metabolism indirect evidence suggests prenatally neurons replaced adulthood ongoing neurogenesis tanycytes ependymoglial cells constitute third ventricle adjacent function adult neural progenitor cells neurons populate hypothesis tanycytes generate neurons adulthood created mouse model tracks neurons originating exclusively tanycytes compound raxcreert arcpomcfneo tamoxifen inducible mediated recombination occurs selectively hypothalamic tanycytes restoring transcriptional activity neuronal enhancer region upstream promoter model expressing neurons appear following tamoxifen treatment derived tanycytes month obese raxcreert arcpomcfneo received tamoxifen treatment months observed emergence expressing neurons equivalent number association weight months tamoxifen treatment consistent effect reintroduction expression newly generated tanycyte derived neurons integrated feeding related circuitry immunoreactive fibers could observed hypothalamic extra hypothalamic regions normally targets neurons results establish substantial number neurons originate tanycytes ongoing phenomenon occurs throughout adulthood references mcnay invest neurosci neurosci robins commun bumaschny invest support grant,0
1,Adipose Tissue  Appetite  and Obesity,individuals anorexia nervosa restrict feeding engage excessive exercise despite severe energy deficit highest mortality psychiatric illness mounting evidence suggests developing multifactorial results combination genetic vulnerability environmental factors stress induced adolescent anxiety disorders negative energy states however clear heritable developing underlying genetic factors fully characterized recently whole exome sequencing unrelated individuals eating disorders revealed damaging mutations neurotensin neurotensin receptor signaling pathway comprised single commonly affected biological pathway patients individuals therefore hypothesis genetic disruption signaling increases vulnerability developing restricted feeding hyperactivity behaviors compromise weight survival sexes exhibit lower weight compared controls suggesting predisposes weight additionally female exhibited greater volitional wheel running compared males female exhibited reduced intake compared female engage compensatory feeding behavior maintain weight homeostasis increased energy requirements collectively suggest confers genetic vulnerability weight exacerbated females examine might interact factors littermates tested model recapitulates environmental stress negative energy states thought promote development restricted feeding model female exhibited aphagic episodes restricted feeding aphagic events occur males controls together suggest confers genetic coinciding established stress factors increases vulnerability developing restricted feeding hyperactivity behaviors similar features,0
2,Adipose Tissue  Appetite  and Obesity,adipocyte derived hormone leptin essential regulation energy balance however studies suggested early leptin functions neuronal development dependent critical neonatal period evaluate parameters adult dependent early leptin signaling flanked transcription blocking cassette inserted generate leptin receptor animals expressing fusion protein human ubiquitin promoter sequence consequently tamoxifen injections induce recombinase activity restore expression adult leprnull adult leprnull leprnull female morbidly obese hyperphagic compared weight respectively intake tamoxifen injections alternated caused robust decrease intake weight leprnull assess presence leptin responsive cells brain determine reactivation efficacy received acute leptin injection leprnull showed leptin responsive cells responsiveness leptin restored leprnull weeks tamoxifen injections leprnull reached stable weight intake however heavier larger adiposity normal leptinemia locomotor activity partially recovered leprnull showed trend towards lower energy expenditure reactivation adult females complete restoration glucose tolerance insulin sensitivity serum insulin levels however leprnull recover normal estrous cycle reactivation reactivation adulthood partially recovered brain completely restored neural projections arcuate nucleus paraventricular nucleus results suggest absence leptin signaling early affects energy balance independent glucose homeostasis although neural projections leptin response restored reactivation adult grants fapesp capes,0
3,Adipose Tissue  Appetite  and Obesity,obesity chronic disease related costs affecting lives matter gender economic status increased adipose tissue posited causal component pinning development obesity induced insulin resistance thereby fueling global incidence diabetes mellitus despite advances therapeutic interventions reduced impact obesity quality biomaterial implantation technology seems offer efficient reverse deleterious effects obesity hypothesize biodegradable polymeric scaffold implantation within adipose tissue modulates biological alter glucose tolerance lipid stores methods developed scaffolds foaming polylactide glycolide particles examined effects mouse model obesity implantation epididymal adipose tissue particles engineered using single emulsion technique vitro models adipose tissue physiology conducted using particles harvested centrifugation cultured mature differentiating adipocytes assay conducted addition trypan confirm viability results preliminary histological analysis adipose tissue indicate polymer matrix integration adipocytes within seven implantation scaffold implants decrease versus exposed surgery without scaffold implantation localized delivery scaffolds adipocytes leading stream systemic effects modulate adipocyte lipid stores glucose tolerance western analysis indicates activated protein kinase glucose transporter elevated skeletal muscle receiving scaffold implants compared controls addition vitro models adipose tissue physiology using mature adipocytes particles demonstrate preferential adherence particles cells investigations particle biocompatibility adipocytes reveal minimal percent change cytotoxicity measured assay cells cultivated particle concentrations however viability sustained hours maximal particle maximal particle concentration currently investigating vitro models resveratrol loaded particles modulate adipocyte secretome enhance observed phenotypic characteristics adipogenesis,0
4,Adipose Tissue  Appetite  and Obesity,steroid sulfatase desulfating enzyme involved metabolism steroids including estrogens converts hormonally inactive estrogen sulfates active estrogens addition reproduction estrogens implicated energy metabolism adipogenesis showed expression adipose tissue induced induced obese suggesting regulation physiologically function energy homeostasis created tetracycline inducible transgenic express adipose tissues control promoter observed interesting specific effect adipose tissue energy homeostasis specifically overexpression provides metabolic benefit female whereas transgene exacerbates metabolic phenotype model obesity diabetes metabolic benefit female transgenic accounted increased estrogenic activity attenuation inflammation adipose tissue whereas benefit abolished ovariectomized worsened metabolic function transgenic resulted increased macrophage recruitment inflammation adipose tissue metabolic effect adipose appeared estrogen independent metabolic function transgenic normalized castration suggesting androgens involved phenotypic exhibition specific effect adipose tissue contrast previous report targeted expression liver confers metabolic benefit sexes results suggest adipose specific inhibition males induction females represent approaches manage obesity diabetes authors nothing disclose sources support support grants,0
5,Adipose Tissue  Appetite  and Obesity,insulin receptors recognized critical function mature adipocytes contribution insulin growth factor receptors adipose tissue clear initial reported adipose specific deletion using promoter increased adiposity recent studies concluded adipocytes leads modest reduction white adipose tissue brown adipose tissue attempt clarify signaling pathway adipose tissue crossed adipo generate specific knock animals mixed female control female subsequently examined several phenotypic effects calories female calories female conditions provided effects weight composition organ observed males females demonstrated reduced liver weights along tendency without effects expected harbored greater adipocyte cross sectional counterparts males tended demonstrate adiposity lower insulin resistance compared controls contrast females largely indistinguishable controls differences circulating levels glucose triglycerides fatty acids adipose tissue insulin signaling expression markers leptin controls therefore conclude adipocyte specific deficiency resulted modest dependent effects organs including reduced liver females effect observed female modest reductions failed reach signaling demonstrably important adipocytes conclude appear mostly dispensable mature adipocyte structure function reported paucity expressed cells references autocrine action adipocytes controls systemic concentrations growth diabetes boucher jeremie differential roles insulin receptors adipose tissue development function diabetes disclosures nonesources support,0
6,Adipose Tissue  Appetite  and Obesity,activin receptor kinase encoded superfamily receptor highly expressed adipose tissue signaling adipocytes suppresses mitochondrial biogenesis fatty oxidation lipolysis global knockout standard resulted rapid development hyperinsulinemia liver steatosis thereby casting doubt suitability target therapeutic intervention nevertheless inactivation signaling selectively adipose tissue promotes mitochondrial biogenesis fatty oxidation insulin sensitivity resistance induced obesity quantitative trait locus analysis cross mouse strain spontaneously diabetic obese mouse strain resistant identified region chromosome responsible increased glucose tolerance insulin sensitivity fatty oxidation decreased obesity congenic mouse strains developed region identified existence nonsense mutation implicating promotes resistance confirm effects global deficiency crispr methodology selectively introduce identical nonsense mutation sensitive weeks nonsense mutation gained weight counterparts importantly generated fully human monoclonal antibody evaluated ability promote resistance established either standard weight reached treatments initiated baseline treated either vehicle control twice weekly weeks injection group similarly treated vehicle control treated reduced weight compared treated vehicle difference weight attributed entirely revealed whole supporting elevated serum leptin levels reduced treatment findings validate suitable important target development obesity therapeutics references andersson elife yogosawa diabetes antibodies generated using adimab platform,0
7,Adipose Tissue  Appetite  and Obesity,glucocorticoids exert potent effects appetite composition metabolism mediated central mechanisms interactions hypothalamic melanocortin system including orexigenic neurons express glucocorticoid receptors stimulated glucocorticoids established diurnal rhythm cortisol blood diurnal changes brain cortisol interconversion hydroxysteroid dehydrogenase cortisone inactive characterized humans diurnal rhythm reported rodent hypothalamus abolished adrenalectomy diurnal changes characterized humans measurements assess diurnal changes brain cortisol cortisone levels relationship changes levels measured plasma plasma shown correlate hypothalamic rodents increase fasting humans stored plasma samples obtained healthy subjects served controls sleep bedtimes ranged times collected every period indwelling lumbar catheter plasma collected every plasma cortisol cortisone measured sensitive elisas diurnal rhythm cortisol cortisone plasma peaks respectively rhythm closely followed plasma rhythm cortisol cortisone levels occurring later nadir cortisol plasma nadir ratio cortisol cortisone plasma differ nadir points however ratio significantly higher oscillated similar phase cortisol although cosinor cortisol correlated positively period contrast diurnal changes noted plasma correlated negatively cortisol higher plasma lower reason discrepancy unknown relate different pools kinetics release blood summary robust diurnal rhythm cortisol cortisone parallels plasma rhythm ratio cortisol cortisone higher morning consistent increased brain activity diurnal changes cortisol correlated changes providing support diurnal interactions neurons,0
8,Adipose Tissue  Appetite  and Obesity,maternal obesity increased development obesity offspring previous using nonhuman primate model maternal obesity uncovered changes appetite regulating pathways hypothalamus animals little known impact brain regions regulating weight brainstem critical region regulating appetite glucose homeostasis receives input vagus nerve comprises critical brain critical component cholestykinin satiety inducing peptide hormone produced gastrointestinal tract brain current examined expression peptide brainstem month japanese macaque offspring model comprised groups maternal control offspring weaned control mctrpctr maternal offspring weaned control mhfdpctr maternal control offspring weaned mctrphfd maternal offspring weaned mhfdphfd expression examined hybridization throughout brainstem differences expression observed lateral parabrachial nucleus implicated regulating glucose homeostasis rodents however increased postnatal consumption raphe magnus receives input hypothalamus sends projections spinal could potentially relay information brain critical signaling molecule portion serotonin regulates several aspects gastrointestinal physiology previous model shown maternal effects serotonin system brain impact maternal postnatal serotonin currently unknown therefore investigated serotonin expression colon animal model month offspring determine signaling impacted maternal postnatal exposure similar brainstem serotonin number significantly increased postnatal consumption findings indicate postnatal impact expression signaling molecules brain maternal future studies explore peptides brain gastrointestinal tract fuller picture unique nonhuman primate model,0
9,Adipose Tissue  Appetite  and Obesity,intestinal damage occurs acute chronic infection despite suppressive antiretroviral therapy posited drivers residual chronic immune activation inflammation assess intestinal damage measured serum intestinal fatty binding protein elucidate composition individuals living methods observational cross sectional analysis women living chronic negative controls similar cardiovascular factors performed serum measured elisa markers inflammation immune activation lipopolysaccharides measured anthropometric measurements single slice abdominal obtained assess composition visceral subcutaneous adipose tissue areas results serum higher infected group comparison control group serum positively related cells among participants serum negatively truncal positively adiponectin infected group relationships negative control group conclusions people living chronic significantly higher negative controls positively related microbial translocation monocyte activation activation markers interestingly strongly negatively correlated adiposity subcutaneous visceral compartments among people living suggesting intestinal damage infection impaired intestinal absorption future studies intestinal damage adipose tissue regulation needed better elucidate mechanisms observed relationship people living,0
